Key name,# values,# subkeys,Last write timestamp
am_engine_patch_|f5039a2c02b93874,16,0,2022-02-08 21:07:00
appinstaller.exe|4243b0d1760fb83e,18,0,2022-02-06 13:00:34
appinstallercli.|ca5784aa12ee3c3d,18,0,2022-02-06 13:00:34
appinstallerelev|470723c9cd6b852c,17,0,2022-02-06 13:00:34
appinstallerpyth|85e547d8ebe1e23c,18,0,2022-02-06 13:00:34
authenticationma|b5edf64ae28b27c,17,0,2022-02-06 13:00:34
calculatorapp.ex|519f1477431b46d9,18,0,2022-02-06 13:00:32
cleanmgr.exe|42343e2ceb471480,17,0,2022-02-06 19:41:04
cloudexperienceh|51ce6769561a3cfc,17,0,2022-02-06 13:00:36
cmd.exe|5ce9ba8d0d54ad10,17,0,2022-02-06 13:00:36
compattelrunner.|732ad1627e12cb48,17,0,2022-02-06 13:00:36
comreg.exe|5e94604d72556d23,9,0,2022-02-06 13:00:35
conhost.exe|a73bcd1ef9353f3e,17,0,2022-02-08 20:49:16
consent.exe|808393f799959da6,17,0,2022-02-06 13:00:36
cookie_exporter.|2bb0d95dd6359f90,16,0,2022-02-08 20:49:16
cookie_exporter.|33d339f0e1797b21,16,0,2022-02-08 20:49:16
cookie_exporter.|84fd1969ad809aaa,16,0,2022-02-08 20:49:16
cortana.exe|6e478fcee6ad43e8,18,0,2022-02-06 13:00:32
csrss.exe|a9363ee544229f11,17,0,2022-02-06 13:00:36
defrag.exe|ebd85d04fc6a26d,17,0,2022-02-06 13:00:36
devicecensus.exe|26420fddf94319b3,17,0,2022-02-06 13:00:36
disksnapshot.exe|45aabbd9b6c071e3,17,0,2022-02-06 19:41:03
dllhost.exe|5fa851ba539d9a3,17,0,2022-02-06 13:00:36
dmclient.exe|9723e031916d775c,17,0,2022-02-06 13:00:36
drvinst.exe|aa32db6491e404e1,17,0,2022-02-06 13:00:36
dstokenclean.exe|e5def75def2b9611,17,0,2022-02-06 19:41:02
dwm.exe|f848a80c6540ffad,17,0,2022-02-06 13:00:36
dxgiadaptercache|81a52788e7db9347,17,0,2022-02-06 13:00:36
elevation_servic|39c7e14fdd8e51ba,16,0,2022-02-08 20:49:16
elevation_servic|4c50ade7035e347e,16,0,2022-02-08 20:49:16
elevation_servic|6be108336c8fbb34,16,0,2022-02-08 20:49:16
em.exe|2d0fb07fdd00588c,17,0,2022-02-07 07:38:49
expediteupdater.|cb3df9e38b8a7db8,16,0,2022-02-08 20:49:15
explorer.exe|68e882542b88f3ee,17,0,2022-02-06 13:00:36
filecoauth.exe|d92cae1cbb5ae7d1,16,0,2022-02-08 20:49:16
filesyncconfig.e|9e8c64e59309f5bd,16,0,2022-02-08 20:49:16
filesynchelper.e|2cb552940cca6336,16,0,2022-02-08 20:49:16
firstlogonanim.e|9891757803a5d612,17,0,2022-02-06 13:00:36
gamebar.exe|4b501bede19f7b27,18,0,2022-02-08 20:49:16
gamebar.exe|a5b2d815bf6ac8e5,18,0,2022-02-06 13:00:29
gamebarelevatedf|c433ebfe84bdfce1,10,0,2022-02-06 13:00:31
gamebarftserver.|a1f1b34873524807,17,0,2022-02-06 13:00:31
gethelp.exe|1fc7b736badbd330,18,0,2022-02-06 13:00:31
hxaccounts.exe|97440e35ec0a45be,18,0,2022-02-06 13:00:30
hxcalendarappimm|c0f2fe3516c0d011,18,0,2022-02-06 13:00:30
hxoutlook.exe|380fda0035a89165,18,0,2022-02-06 13:00:30
hxtsr.exe|f7cfcf917c046c66,17,0,2022-02-08 20:49:16
identity_helper.|4b1a20ac23dee1e,16,0,2022-02-08 20:49:16
identity_helper.|75830fc4a8ed3dda,16,0,2022-02-08 20:49:16
identity_helper.|b13c0479e31cb38f,16,0,2022-02-08 20:49:16
ie4uinit.exe|874b2700383dd346,17,0,2022-02-08 20:49:16
ie_to_edge_stub.|643152c6d1685a50,16,0,2022-02-08 20:49:16
ie_to_edge_stub.|dfe5950c5fc05624,16,0,2022-02-08 20:49:16
ie_to_edge_stub.|f3970337392b510d,16,0,2022-02-08 20:49:16
kape.exe|af0f126cb287a21c,16,0,2022-02-05 19:04:50
localbridge.exe|50c5b68f3deaf8a4,17,0,2022-02-06 13:00:35
logonui.exe|abe25f7310ce82cc,17,0,2022-02-06 13:00:36
lpremove.exe|5b4b864d8514e716,17,0,2022-02-08 20:53:38
lsass.exe|57789c957d4a9243,17,0,2022-02-08 20:49:16
makecab.exe|8b94845f26f019d3,17,0,2022-02-08 20:43:56
maps.exe|a9f1148c066ee10e,18,0,2022-02-06 13:00:29
mcbuilder.exe|fa2995f98d7b162b,17,0,2022-02-06 13:00:36
mdmdiagnosticsto|50a6376a93e56677,17,0,2022-02-06 13:00:36
microsoft.micros|865ba3c027c0e570,15,0,2022-02-06 13:00:32
microsoft.photos|689cd3507a3247bd,18,0,2022-02-08 20:49:12
microsoft.sharep|13e78688d4a80961,16,0,2022-02-08 20:49:16
microsoft.sharep|e98df9b19054f9bb,16,0,2022-02-08 20:49:16
microsoft.webmed|e6b2f84a2e65cbbe,16,0,2022-02-06 13:00:29
microsoftedgecom|e3e9ccb58a8d4cfd,16,0,2022-02-06 13:00:36
microsoftedgeupd|53bb4becb27ed8ab,16,0,2022-02-06 13:00:36
microsoftedgeupd|689015616b21dd0c,16,0,2022-02-06 13:00:36
microsoftedgeupd|824ba73648481889,16,0,2022-02-06 13:00:36
microsoftedgeupd|84bcd64699b11da4,16,0,2022-02-05 18:59:59
microsoftedgeupd|933800f114eff7b1,16,0,2022-02-06 13:00:36
microsoftedgeupd|e0f5e491af67be02,16,0,2022-02-06 13:00:36
microsoftedgeupd|e4097b1c4b1eb64d,16,0,2022-02-06 13:00:36
microsoftedgeupd|f3dd1111f43e2c15,16,0,2022-02-06 13:00:36
microsoftedge_x6|3de1b8dec4ab832d,16,0,2022-02-08 20:49:17
microsoftedge_x6|4b06939e3a89f0fc,16,0,2022-02-08 20:49:16
microsoftedge_x6|93edf134289e1ed3,16,0,2022-02-13 03:55:19
microsoftedge_x6|b4d35f1c064e5655,16,0,2022-02-08 20:57:52
mofcomp.exe|862f05ca56b37f77,17,0,2022-02-06 13:00:36
monotificationux|978c80a35927b1d,17,0,2022-02-08 20:49:17
mousocoreworker.|a1b2c6de99d06de6,17,0,2022-02-08 20:49:17
mpam-27e474a6.ex|921dc0aa305263ed,16,0,2022-02-06 13:00:36
mpcmdrun.exe|7c60e8ce38767417,17,0,2022-02-08 20:49:17
mpcmdrun.exe|89ec2c2caf3dd2c8,16,0,2022-02-13 03:55:17
mpcmdrun.exe|a2a97d0d02dcb80f,16,0,2022-02-08 21:17:00
msedge.exe|105df8305b64b243,16,0,2022-02-08 20:49:16
msedge.exe|bc655cf884217d82,16,0,2022-02-08 20:49:16
msedge.exe|c2abc924fa831d32,16,0,2022-02-08 20:49:16
msedge.exe|d27b57360cd4a4cf,16,0,2022-02-08 20:49:17
msedgewebview2.e|7a8f2431846bf42a,16,0,2022-02-08 20:49:16
msedgewebview2.e|8ee283e279331b30,16,0,2022-02-08 20:49:16
msedgewebview2.e|d61a3a68439cc70d,16,0,2022-02-08 20:49:16
msedge_proxy.exe|4ee55cb70447a0c6,16,0,2022-02-08 20:49:17
msedge_proxy.exe|620a9526b8929d0f,16,0,2022-02-08 20:49:16
msedge_proxy.exe|82325ce6ce40d9b5,16,0,2022-02-08 20:49:16
msedge_proxy.exe|8901c2a995613d61,16,0,2022-02-08 20:49:16
msedge_pwa_launc|cca25fe0c9acf84f,16,0,2022-02-08 20:49:16
msedge_pwa_launc|dc36ae0ed5967fe3,16,0,2022-02-08 20:49:16
msedge_pwa_launc|f45153bbca6562b3,16,0,2022-02-08 20:49:16
msiexec.exe|3560aeebc8ec9db4,17,0,2022-02-06 13:00:36
msmpeng.exe|63879835f5c234e3,17,0,2022-02-08 20:49:17
msmpeng.exe|9f1bc1779e16912e,16,0,2022-02-08 21:06:54
msmpeng.exe|ec815a66ca4ed46e,16,0,2022-02-13 03:55:17
msmpengcp.exe|e7f9dbe5734a7d2f,16,0,2022-02-13 03:55:17
msoobe.exe|d79e10f510d8bba1,17,0,2022-02-06 13:00:36
mspaint.exe|a9bc29a4a377e16d,18,0,2022-02-06 13:00:29
msteams.exe|75768a0c73f7a87e,18,0,2022-02-06 13:00:27
msteamsupdate.ex|9670d1d88550670d,18,0,2022-02-06 13:00:27
music.ui.exe|2f3d6e8c9df0acfe,18,0,2022-02-06 13:00:34
newsstub.exe|24ce1ef64b266e2c,18,0,2022-02-06 13:00:26
ngen.exe|4653055c63a37b02,17,0,2022-02-06 13:00:36
ngen.exe|6737a0e56950a135,17,0,2022-02-06 13:00:36
ngentask.exe|5c7d7da84d53b8ea,17,0,2022-02-06 13:00:36
ngentask.exe|cc6494267adfb0bb,17,0,2022-02-06 13:00:36
nissrv.exe|dc3cbc319d9fe4ca,16,0,2022-02-13 03:55:17
notepad.exe|f4c3c8a6aae2a514,18,0,2022-02-06 13:00:31
notification_hel|671c4efc4a8df16,16,0,2022-02-08 20:49:16
notification_hel|bc6b34311eeb1391,16,0,2022-02-08 20:49:16
notification_hel|cb5de61af8c64000,16,0,2022-02-08 20:49:16
onedrive.exe|f2a073950a06cc1e,16,0,2022-02-08 20:49:17
onedrivefilelaun|1ad3bd778f8004b6,16,0,2022-02-08 20:49:16
onedrivesetup.ex|5ff4d517afbc54c9,16,0,2022-02-08 20:49:16
onedrivesetup.ex|d72672c5b63baf6d,17,0,2022-02-06 13:00:37
onedrivestandalo|9a9cea731d5bf174,16,0,2022-02-08 20:49:17
onedriveupdaters|b8b7b04f6be3eb60,16,0,2022-02-08 20:49:16
oobeldr.exe|d0ecf709709bacf1,17,0,2022-02-06 13:00:37
openconsole.exe|5504bfd34ecc2bb6,17,0,2022-02-06 13:00:33
openwith.exe|5c91e48dda5e9a2a,17,0,2022-02-06 13:00:37
pad.console.host|2f2700022c2827cd,17,0,2022-02-08 20:49:15
peopleapp.exe|5e7af2d716bab553,16,0,2022-02-06 13:00:29
pickerhost.exe|3b85f25a872af81a,17,0,2022-02-07 05:41:02
pilotshubapp.exe|66840e2ea44fd4e6,18,0,2022-02-06 13:00:33
powershell.exe|bd2e1475245f53a2,17,0,2022-02-06 13:00:37
provtool.exe|b42cfc9c73029b35,17,0,2022-02-07 07:48:13
pvscsi.sys|ab1dbaa42155403c,16,0,2022-02-06 13:00:35
pwahelper.exe|20bf7484dcde13ee,16,0,2022-02-08 20:49:17
pwahelper.exe|299bfa1b01b9c26e,16,0,2022-02-08 20:49:16
pwahelper.exe|74f52c20698ee37c,16,0,2022-02-08 20:49:16
pwahelper.exe|8b6c72ab602543cd,16,0,2022-02-08 20:49:16
rpctool.exe|6978e2fa2672f6a2,16,0,2022-02-06 13:00:35
rundll32.exe|c8d854bf61fafc41,17,0,2022-02-06 19:45:04
runonce.exe|112bcdfdacfed846,17,0,2022-02-07 07:38:23
rvmsetup.exe|27c556ff0f8a36f8,16,0,2022-02-06 13:00:35
sc.exe|f9557929d5a0fd7b,17,0,2022-02-06 13:00:37
screensketch.exe|31f50315a89a60c4,18,0,2022-02-06 13:00:28
sdiagnhost.exe|6e330cf2f4aa0e56,17,0,2022-02-13 03:54:41
