Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-pcw.resources_31bf3856ad364e35_en-us_9485b8544025ecdf,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-pcw-minwin_31bf3856ad364e35_none_4bd527f27545db57,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-packagestateroaming_31bf3856ad364e35_none_1f3b50cff0cd4430,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..xecutable.resources_31bf3856ad364e35_en-us_0f9ac43fe86ae1c9,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..track-adm.resources_31bf3856ad364e35_en-us_540a9cc5056b53ec,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..teroaming.resources_31bf3856ad364e35_en-us_12ccce9a3ad18087,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..structure.resources_31bf3856ad364e35_en-us_b1fe0e412c1ccccc,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..s-merged-deployment_31bf3856ad364e35_none_93407e1c32ca67c0,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..rmanceperftrack-adm_31bf3856ad364e35_none_339ac11119f9fd23,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..oyment-languagepack_31bf3856ad364e35_en-us_d5355332f363c9b6,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..oyment-languagepack_31bf3856ad364e35_en-us_5b32d5d7149c4d52,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..oyment-languagepack_31bf3856ad364e35_en-us_0ce60acd86eb9206,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..nextensions-desktop_31bf3856ad364e35_none_d321cfd73f0b15b1,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..imulationextensions_31bf3856ad364e35_none_a5be795bbee752ce,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..4-merged-deployment_31bf3856ad364e35_none_fbe78537ed3c6cce,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-p..21h1-ekb-deployment_31bf3856ad364e35_none_97ff272a621ad376,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-ocpupdateagent_31bf3856ad364e35_none_335ec51e21d1c4aa,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-o..tioninstrumentation_31bf3856ad364e35_none_40bf8dfbf83e47c3,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-o..mentation.resources_31bf3856ad364e35_en-us_f0d0319b8b455d0a,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-o..dateagent.resources_31bf3856ad364e35_en-us_35691aabdd9f3699,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-notepad-fod-deployment_31bf3856ad364e35_none_a0c9fa33bf44f15b,Removed Key,,,,,,,,2019-12-07 09:52,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-nlasvc.resources_31bf3856ad364e35_en-us_a3a0eac170a5a2c4,Removed Key,,,,,,,,2019-12-07 09:50,
